iter	Logloss
0	0.6149683749
1	0.5453423614
2	0.4878056863
3	0.4324629741
4	0.3892402396
5	0.3545409792
6	0.3209182608
7	0.2913551475
8	0.2661267976
9	0.2463530329
10	0.226630982
11	0.2085519822
12	0.1934892843
13	0.181693956
14	0.169080039
15	0.1594179208
16	0.1502597929
17	0.1428302938
18	0.1370535893
19	0.1308409002
20	0.1247774684
21	0.1209150936
22	0.1166596571
23	0.1128394312
24	0.1091346285
25	0.1060253173
26	0.1027087146
27	0.1004065519
28	0.09786822459
29	0.09585361267
30	0.09343959871
31	0.09136698251
32	0.09009933198
33	0.08845554661
34	0.08743933066
35	0.08568721639
36	0.08452249717
37	0.08360156262
38	0.08254574282
39	0.08177660069
40	0.08093389651
41	0.08008681671
42	0.07890192101
43	0.07775779004
44	0.07671650107
45	0.07622235837
46	0.07568467773
47	0.07485229745
48	0.07436235177
49	0.0735404194
50	0.07296167141
51	0.07240159176
52	0.07171748653
53	0.07110798516
54	0.07066058026
55	0.0699934318
56	0.06941977879
57	0.06902151778
58	0.06865488826
59	0.06829490154
60	0.06801000984
61	0.0675266524
62	0.06714170678
63	0.06659580573
64	0.06608185863
65	0.06553492072
66	0.06536249044
67	0.06478595011
68	0.06454889755
69	0.06404023394
70	0.06366634147
71	0.06344134916
72	0.06321122218
73	0.06301547014
74	0.06281879534
75	0.06254354786
76	0.06238647195
77	0.0621289502
78	0.06182944332
79	0.06166827953
80	0.06129164362
81	0.0611365422
82	0.06089528765
83	0.06072542718
84	0.06063101891
85	0.06027547231
86	0.06003764087
87	0.05996074501
88	0.05977595187
89	0.05955213531
90	0.05939352148
91	0.0592740154
92	0.05906309254
93	0.05891725831
94	0.05859589316
95	0.05841591717
96	0.05810746556
97	0.05799044991
98	0.05776884597
99	0.05766495223
100	0.05752960064
101	0.05735380679
102	0.05707902068
103	0.05689081931
104	0.05670021185
105	0.05648782549
106	0.05644128613
107	0.05629355679
108	0.0560974029
109	0.05599002652
110	0.05589296906
111	0.05577434604
112	0.05569592219
113	0.05558783638
114	0.05545805602
115	0.05536562224
116	0.05523123308
117	0.05508863344
118	0.0550144463
119	0.05470693233
120	0.05448076425
121	0.05438357781
122	0.05427359689
123	0.05416216735
124	0.05400736359
125	0.05380674478
126	0.05368328972
127	0.0535357737
128	0.05341449653
129	0.05330181185
130	0.05312130503
131	0.05306162888
132	0.05278005114
133	0.05265620416
134	0.05253661374
135	0.05246576041
136	0.05242394395
137	0.05238248468
138	0.05227083685
139	0.05219972555
140	0.05215842503
141	0.05205923434
142	0.05200073891
143	0.05190870202
144	0.05182580828
145	0.05173331497
146	0.05168999532
147	0.05159604842
148	0.05156785493
149	0.05153590098
150	0.05149229359
151	0.05138959545
152	0.05134310074
153	0.05129684912
154	0.05118336572
155	0.05111057759
156	0.05102028697
157	0.05095422103
158	0.05091555482
159	0.05088005373
160	0.05072319115
161	0.05066219041
162	0.05055090474
163	0.05054348801
164	0.05049053901
165	0.05042304429
166	0.05032820938
167	0.05024223981
168	0.05018240987
169	0.05012280814
170	0.05005720853
171	0.04999217944
172	0.04993090089
173	0.04985549334
174	0.04979487956
175	0.04964952654
176	0.04963130967
177	0.04947413454
178	0.0494544492
179	0.04927701821
180	0.0492577744
181	0.04920849656
182	0.04915761134
183	0.04911156313
184	0.04900412225
185	0.04896183449
186	0.04891330577
187	0.048825198
188	0.04871859057
189	0.04866841975
190	0.04861259335
191	0.04858660752
192	0.04856124677
193	0.04850056849
194	0.04840276689
195	0.04836851598
196	0.04833313893
197	0.04830705883
198	0.04828144011
199	0.04821989862
200	0.04793147962
201	0.04772692672
202	0.04770669071
203	0.04767479629
204	0.04763984588
205	0.04756060346
206	0.04748842058
207	0.04745627315
208	0.04730502148
209	0.04727400516
210	0.04718909229
211	0.04714281091
212	0.04708680096
213	0.04705685126
214	0.04701650822
215	0.04693051881
216	0.04689468534
217	0.0467645329
218	0.04675428343
219	0.04665041449
220	0.04661727485
221	0.04657169794
222	0.04650432724
